current_path,filename,suggested_filename,notes
assets/images/cleanemr_04.PNG,cleanemr_04.PNG,cleanemr_04.png,extension_case
assets/images/cleantext_02.jpeg,cleantext_02.jpeg,cleantext_02.jpeg,duplicate_stem_variant
assets/images/cleantext_02.png,cleantext_02.png,cleantext_02.png,duplicate_stem_variant
assets/images/cleantext_03.jpeg,cleantext_03.jpeg,cleantext_03.jpeg,duplicate_stem_variant
assets/images/cleantext_03.png,cleantext_03.png,cleantext_03.png,duplicate_stem_variant
assets/images/clinical_digital_twin_02.PNG,clinical_digital_twin_02.PNG,clinical_digital_twin_02.png,extension_case
assets/images/clinical_digital_twin_03.jpeg,clinical_digital_twin_03.jpeg,clinical_digital_twin_03.jpeg,duplicate_stem_variant
assets/images/clinical_digital_twin_03.png,clinical_digital_twin_03.png,clinical_digital_twin_03.png,duplicate_stem_variant
assets/images/diaframe_02.PNG,diaframe_02.PNG,diaframe_02.png,extension_case
assets/images/haos_01.heic,haos_01.heic,haos_01.heic,duplicate_stem_variant
assets/images/haos_01.png,haos_01.png,haos_01.png,duplicate_stem_variant
assets/images/modeling_probabilistic_01.heic,modeling_probabilistic_01.heic,modeling_probabilistic_01.heic,duplicate_stem_variant
assets/images/modeling_probabilistic_01.png,modeling_probabilistic_01.png,modeling_probabilistic_01.png,duplicate_stem_variant
assets/images/openclaw_01.jpeg,openclaw_01.jpeg,openclaw_01.jpeg,duplicate_stem_variant
assets/images/openclaw_01.png,openclaw_01.png,openclaw_01.png,duplicate_stem_variant
assets/뒷표지.png,뒷표지.png,back_cover.png,non_ascii
assets/앞표지.png,앞표지.png,front_cover.png,non_ascii
